Adhesive Bandage,バンソウコウ,"Your average adhesive
bandage.
Restores 20 HP to one ally.",Lunge,トツゲキ,"Medium Phys dmg to an
area of foes.",Shibuya Crossing,I am the pillager of twilight—[1B]T1%s[1B]R!,"You need my help once more?
Very well, use my power wisely."
Dark Choco Matter,アイテム４２１,"Delicious chocolate that's
darker than the night sky.
Restores 30 HP to all allies.",Null Psy,ネンドウムコウ,Nullifies Psy attacks.,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４２２,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４２３,未作成テキスト,Drain Psy,ネンドウキュウシュウ,"Absorbs damage from
Psy attacks.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４２４,未作成テキスト,Resist Nuke,カクネツタイセイ,"Increases resistance to Nuke
attacks. Nullifies weakness.",未作成テキスト,未作成テキスト,未作成テキスト
Chilled Pineapple,アイテム４２５,"Frozen pineapple with an
incredibly sweet taste.
Restores 10 SP to one ally.",Null Nuke,カクネツムコウ,Nullifies Nuke attacks.,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４２６,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４２７,未作成テキスト,Drain Nuke,カクネツキュウシュウ,"Absorbs damage from
Nuke attacks.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４２８,未作成テキスト,Resist Bless,シュクフクタイセイ,"Increases resistance to Bless
attacks. Nullifies weakness.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４２９,未作成テキスト,Null Bless,シュクフクムコウ,Nullifies Bless attacks.,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４３０,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Chocolate Banana,アイテム４３１,"A sweet snack that's a staple
street food at festivals.
Restores 30 HP to one ally.",Drain Bless,シュクフクキュウシュウ,"Absorbs damage from
Bless attacks.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４３２,未作成テキスト,Resist Curse,ジュオンタイセイ,"Increases resistance to Curse
attacks. Nullifies weakness.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４３３,未作成テキスト,Null Curse,ジュオンムコウ,Nullifies Curse attacks.,未作成テキスト,未作成テキスト,未作成テキスト
Go Go Curry,アイテム４３４,"Chain restaurant curry that
makes you get up and go.
Restores 20 HP to all allies.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Go Go Hayashi Rice,アイテム４３５,"The sweet, rich tomato
is the best part.
Restores 30 HP to all allies.",Drain Curse,ジュオンキュウシャ,"Absorbs damage from
Curse attacks.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４３６,未作成テキスト,Shadow of Grief,ナゲキノヤミ,"Drain-affinity passive skills
also restore SP, based on
damage absorbed.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４３７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４３８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
5 Piece Yakitori,アイテム４３９,"Momo, liver, negima, and
tsukune. Yakitori perfection.
Restores 20 HP to all allies. ",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４４０,未作成テキスト,Resist Dizzy,メマイタイセイ,"Decreases chance of being
inflicted with Dizzy.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４４１,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４４２,未作成テキスト,Resist Fear,キョウフタイセイ,"Decreases chance of being
inflicted with Fear.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４４３,未作成テキスト,Resist Forget,ボウキャクタイセイ,"Decreases chance of being
inflicted with Forget.",未作成テキスト,未作成テキスト,未作成テキスト
Grilled Rice Ball,アイテム４４４,"Grilled on charcoal for a
distinct scent.
Restores 30 HP to one ally.",Resist Sleep,スイミンタイセイ,"Decreases chance of being
inflicted with Sleep.",未作成テキスト,未作成テキスト,未作成テキスト
Oiri-don,アイテム４４５,"Rice topped with yakitori.
Applies Matarukaja effect.",Resist Rage,ゲキドタイセイ,"Decreases chance of being
inflicted with Rage.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４４６,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４４７,未作成テキスト,Resist Brainwash,センノウタイセイ,"Decreases chance of being
inflicted with Brainwash.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４４８,未作成テキスト,Fortify Spirit,セイシンタイセイ,"Decreases chance of being
inflicted with ailments.",未作成テキスト,未作成テキスト,未作成テキスト
Scallop Katsu,アイテム４４９,"Just one bite will fill you
with luxurious comfort.
Cures Rage for one ally.",Null Dizzy,メマイムコウ,"Prevents being inflicted
with Dizzy.",未作成テキスト,未作成テキスト,未作成テキスト
Shrimp Katsu,アイテム４５０,"You'll usually choose between
this and tempura.
Cures Brainwash for one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４５１,未作成テキスト,Null Fear,キョウフムコウ,"Prevents being inflicted
with Fear.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４５２,未作成テキスト,Null Forget,ボウキャクムコウ,"Prevents being inflicted
with Forget.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４５３,未作成テキスト,Null Sleep,スイミンムコウ,"Prevents being inflicted
with Sleep.",未作成テキスト,未作成テキスト,未作成テキスト
Pork Katsu,アイテム４５４,"Tastes incredible with sauce.
Cures Sleep for one ally.",Null Rage,ゲキドムコウ,"Prevents being inflicted
with Rage.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４５５,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４５６,未作成テキスト,Null Brainwash,センノウムコウ,"Prevents being inflicted
with Brainwash.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４５７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４５８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Co-Co Pudding,アイテム４５９,"An Osaka exclusive, made
with frozen coffee. Revives
one fallen ally to 50% HP.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４６０,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４６１,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４６２,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４６３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Stomachache Candy,アイテム４６４,"The comical art on the can
brings a smile to your face.
Restores 10 SP to one ally.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４６５,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
